age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Probability,name,balance,income,outflow_factor,outflow,Product,Email,Language,customer_since_years,Phone,Email_propensity,Call_propensity,Text_propensity
28,self-employed,single,5,0,1,0,1,4,1,1,999,0,-999,-1.8,93.075,-47.1,1.405,5099.1,0.1936002833161855,Ryan Smith,1862,3075.74,0.6028699733685031,1854.27,CC003,ryan.smith@gmail.com,English,10.0,319.581.3424x9402,0.87,0.57,0.42
28,blue-collar,single,3,0,0,0,1,7,2,1,999,0,-999,1.4,93.918,-42.7,4.961,5228.1,0.0645412600261043,Kenneth Green,60056,1883.06,1.0042206076165126,1891.01,L001,kenneth.green@hotmail.com,English,10.0,2426025341,0.67,0.8,0.35
57,admin.,divorced,5,-999,1,0,1,11,5,7,999,0,-999,-0.1,93.2,-42.0,4.021,5195.8,0.0543418641670736,Julie Jarvis,16115,3306.02,0.3,991.81,CC003,julie.jarvis@gmail.com,German,30.0,(679)583-1704,0.73,0.54,0.55
29,services,single,5,-999,1,0,0,5,1,1,999,0,-999,1.1,93.994,-36.4,4.858,5191.0,0.0356608926660734,Patricia Gonzales,134773,2437.61,1.0153259693430898,2474.97,L001,patricia.gonzales@gmail.com,German,11.0,(483)256-4221,0.61,0.8,0.53
58,admin.,married,5,0,0,1,0,5,5,1,999,0,-999,1.1,93.994,-36.4,4.857,5191.0,0.0356087482254378,Terri Elliott,150699,3351.04,0.3,1005.31,CC003,terri.elliott@yahoo.com,English,32.0,(692)921-5765x41842,0.51,0.69,0.78
45,blue-collar,single,3,-999,1,0,1,5,1,2,999,1,0,-1.8,92.893,-46.2,1.244,5099.1,0.0710144368858399,Autumn Clayton,93964,3855.63,1.5078747855385952,5813.81,L001,autumn.clayton@hotmail.com,English,23.0,001-682-299-5628x562,0.66,0.57,0.9
52,technician,married,1,0,1,0,1,7,4,1,3,1,1,-1.7,94.215,-40.3,0.846,4991.6,0.7864647279256439,Amanda Figueroa,61395,1834.82,1.023254137593521,1877.49,L001,amanda.figueroa@gmail.com,German,26.0,850.747.5608x14260,0.87,0.58,0.34
34,admin.,single,5,0,0,0,1,7,2,1,999,0,-999,1.4,93.918,-42.7,4.961,5228.1,0.0708005368597748,Marc Krueger,180893,2943.9,0.8926489909729434,2627.87,L001,marc.krueger@gmail.com,German,16.0,252-812-4846,0.61,0.41,0.79
27,technician,single,4,0,0,0,1,5,5,6,999,1,0,-1.8,92.893,-46.2,1.25,5099.1,0.0821238185327012,Ebony Thomas,19415,2989.45,0.699109626145582,2089.95,L001,ebony.thomas@hotmail.com,German,9.0,(323)963-6109,0.56,0.75,0.27
35,admin.,married,3,-999,1,1,1,7,5,1,999,0,-999,1.4,93.918,-42.7,4.963,5228.1,0.0628405378790028,Lisa Gonzalez,55704,2550.29,0.8109203042741036,2068.08,CC003,lisa.gonzalez@hotmail.com,German,17.0,+1-235-944-5813,0.83,0.43,0.54
55,management,married,5,0,0,0,1,4,5,1,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,0.1212924392983529,Patricia Juarez,182507,3948.01,1.0650199309429975,4204.71,L001,patricia.juarez@yahoo.com,German,33.0,(225)245-2288x290,0.73,0.74,0.47
59,technician,single,5,-999,1,0,1,8,4,1,999,0,-999,1.4,93.444,-36.1,4.964,5228.1,0.0579696754469491,Cory Lewis,168013,3288.11,1.6098159371401155,5293.25,L001,cory.lewis@gmail.com,German,30.0,6304347086,0.79,0.57,0.8
34,admin.,single,3,0,1,0,1,5,3,1,11,1,1,-1.8,92.893,-46.2,1.334,5099.1,0.2680605000400465,Richard Mcconnell,8131,758.25,0.6133258487702362,465.05,CC003,richard.mcconnell@yahoo.com,German,16.0,496.492.9310,0.7,0.47,0.54
74,retired,divorced,1,0,1,1,1,7,3,2,999,0,-999,-1.7,94.215,-40.3,0.896,4991.6,0.5508409596716738,Natalie Branch,26280,2533.56,0.4248584236925409,1076.4,L002,natalie.branch@hotmail.com,German,40.0,756-911-4975x8816,0.88,0.69,0.85
31,technician,single,4,0,0,0,1,8,4,1,999,0,-999,1.4,93.444,-36.1,4.963,5228.1,0.0593423306183097,Michelle Weber,48626,3235.24,1.0485021631097244,3392.16,L001,michelle.weber@yahoo.com,English,13.0,+1-525-742-4549,0.54,0.68,0.42
38,entrepreneur,married,4,0,1,0,0,11,3,2,999,0,-999,-0.1,93.2,-42.0,4.12,5195.8,0.0435511791894219,Lisa Scott,112236,4719.29,1.2156161946154862,5736.85,L002,lisa.scott@gmail.com,English,20.0,+1-333-989-8916x51094,0.98,0.68,0.64
59,management,married,1,-999,-999,-999,0,5,2,1,999,0,-999,1.1,93.994,-36.4,4.857,5191.0,0.0384950278858495,Henry Carr,183723,1853.99,0.3,556.2,L002,henry.carr@yahoo.com,German,31.0,556-378-3771,0.71,0.45,0.44
39,entrepreneur,married,4,0,1,0,1,11,4,2,999,0,-999,-0.1,93.2,-42.0,4.076,5195.8,0.0618214031114407,Madeline Miller,8054,3959.23,0.7771536359613128,3076.93,L002,madeline.miller@yahoo.com,German,21.0,419.949.3397x63100,0.65,0.66,0.69
66,retired,married,-999,0,0,0,1,9,2,1,999,1,0,-1.1,94.199,-37.5,0.881,4963.6,0.3819516934013083,Terry Cox,10732,3259.23,0.3,977.77,L001,terry.cox@gmail.com,English,36.0,001-346-330-0930x41673,0.72,0.69,0.25
48,entrepreneur,married,1,0,0,1,0,6,1,1,999,0,-999,1.4,94.465,-41.8,4.865,5228.1,0.0373588856507214,Kristy Hester,135289,1953.53,0.5629555100146101,1099.75,CC003,kristy.hester@yahoo.com,German,26.0,(778)685-3717x406,0.98,0.51,0.52
46,services,married,3,0,0,0,0,4,1,1,999,0,-999,-1.8,93.075,-47.1,1.405,5099.1,0.0880511033044759,Thomas White,199859,4957.3,0.7034060539175573,3486.99,L002,thomas.white@yahoo.com,English,25.0,785.732.2594x73609,0.88,0.65,0.49
83,retired,divorced,1,0,1,1,1,11,2,1,999,0,-999,-3.4,92.649,-30.1,0.716,5017.5,0.4409831662468856,Kevin Martinez,129157,2776.96,0.8814822801382532,2447.84,L001,kevin.martinez@gmail.com,German,48.0,001-737-312-7722x50695,0.6,0.52,0.89
26,services,single,2,-999,1,0,1,5,2,2,999,1,0,-1.8,92.893,-46.2,1.291,5099.1,0.0670299044062427,Margaret Wade,139396,3367.84,1.0322685091949682,3476.52,L002,margaret.wade@yahoo.com,German,8.0,6824831752,0.76,0.47,0.8
40,blue-collar,married,2,-999,0,0,0,5,3,4,999,0,-999,1.1,93.994,-36.4,4.856,5191.0,0.0298753320252843,Michael Davidson,48175,1520.59,0.3,456.18,L002,michael.davidson@yahoo.com,German,22.0,+1-889-988-0161x426,0.85,0.44,0.41
48,technician,single,3,0,0,1,1,7,2,2,999,0,-999,1.4,93.918,-42.7,4.961,5228.1,0.0637376844452988,Jason Soto,108785,1381.04,0.4251806328218887,587.19,L002,jason.soto@gmail.com,German,25.0,4386824407,0.86,0.73,0.64
41,blue-collar,married,2,0,1,0,1,5,3,1,999,1,0,-1.8,92.893,-46.2,1.281,5099.1,0.0669611412777407,Shawn Alvarez,8562,2396.54,0.3,718.96,L002,shawn.alvarez@yahoo.com,German,21.0,926-229-6146x8753,0.71,0.69,0.9
42,blue-collar,divorced,1,-999,0,0,0,5,3,1,999,0,-999,1.1,93.994,-36.4,4.859,5191.0,0.0348752619613614,Jeffrey Contreras,7647,4932.77,0.7809491881081767,3852.24,CC003,jeffrey.contreras@hotmail.com,German,23.0,361.270.0685x89145,0.53,0.64,0.36
34,management,married,5,0,1,0,0,5,2,3,999,0,-999,1.1,93.994,-36.4,4.856,5191.0,0.0348981568294787,Cynthia Ayala,176312,3357.43,0.3,1007.23,L001,cynthia.ayala@gmail.com,English,16.0,856.216.0009,0.98,0.57,0.57
59,blue-collar,divorced,1,-999,0,1,1,7,1,6,999,0,-999,1.4,93.918,-42.7,4.962,5228.1,0.0590420336962992,Alicia Nguyen,8007,1075.9,0.3865718707794815,415.91,CC003,alicia.nguyen@yahoo.com,German,31.0,201-589-9051,0.58,0.77,0.43
31,management,single,5,0,1,0,1,7,1,2,999,0,-999,1.4,93.918,-42.7,4.962,5228.1,0.0687344981442091,Edward Hull,14356,1209.68,0.8246355258252991,997.55,CC003,edward.hull@hotmail.com,English,13.0,(927)790-0968,0.71,0.78,0.5
50,entrepreneur,married,1,0,0,0,0,6,5,2,999,0,-999,1.4,94.465,-41.8,4.959,5228.1,0.0399967614032276,Donald King,30423,2646.43,0.7385222112627181,1954.45,L001,donald.king@hotmail.com,German,27.0,(348)644-9681x389,0.74,0.51,0.33
80,retired,divorced,1,0,0,1,1,7,4,2,6,2,1,-1.7,94.215,-40.3,0.899,4991.6,0.8271335926748072,Kimberly Nichols,175305,3895.1,1.116553405494528,4349.09,L002,kimberly.nichols@gmail.com,German,47.0,+1-931-753-7829,0.67,0.78,0.77
46,entrepreneur,single,5,0,1,1,1,4,1,12,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,0.0675645366486896,Emma Johnson,189714,1631.14,1.1576449561264397,1888.28,L001,emma.johnson@hotmail.com,German,23.0,+1-280-331-4310x85341,0.71,0.64,0.35
33,technician,single,4,0,1,0,1,8,3,1,999,0,-999,1.4,93.444,-36.1,4.967,5228.1,0.0562421626031703,Christopher Yates,1411,4810.37,0.7270038003375218,3497.16,L001,christopher.yates@gmail.com,German,15.0,907-878-0020x650,0.73,0.48,0.84
52,management,divorced,5,0,0,0,0,5,5,2,999,0,-999,1.1,93.994,-36.4,4.859,5191.0,0.035322599883572,Paul Mathews,100819,1756.94,1.6432197014604786,2887.04,CC003,paul.mathews@hotmail.com,English,27.0,772.587.2000x85146,0.91,0.44,0.58
58,self-employed,divorced,4,0,0,0,0,6,4,1,999,0,-999,1.4,94.465,-41.8,4.961,5228.1,0.0405690664717494,James Reilly,68948,2650.83,0.9155230212067794,2426.9,L001,james.reilly@yahoo.com,German,35.0,+1-292-672-8853x74748,0.91,0.52,0.31
40,admin.,single,3,0,0,0,1,5,2,6,999,0,-999,-1.8,92.893,-46.2,1.344,5099.1,0.1001507162331103,Logan Herrera,60317,2533.76,0.3,760.13,CC003,logan.herrera@yahoo.com,German,22.0,(842)485-7856x362,0.98,0.54,0.36
36,technician,married,4,0,0,0,0,5,3,1,999,0,-999,1.1,93.994,-36.4,4.856,5191.0,0.0354340621121093,Mackenzie Ross,99155,811.0,0.5646447795830897,457.93,L002,mackenzie.ross@gmail.com,German,18.0,734.673.6417,0.53,0.41,0.72
56,retired,divorced,5,0,1,0,1,4,1,5,9,1,1,-1.8,93.075,-47.1,1.405,5099.1,0.380729142187963,Juan Tucker,50929,2413.81,0.3,724.14,L002,juan.tucker@hotmail.com,German,32.0,(489)669-3093,0.65,0.77,0.4
34,admin.,single,5,-999,0,0,0,8,3,2,999,0,-999,1.4,93.444,-36.1,4.965,5228.1,0.0429471921913037,Tina Wong,100917,1375.18,0.7495277120636885,1030.74,L002,tina.wong@hotmail.com,English,16.0,307.671.5416,0.63,0.63,0.84
28,self-employed,single,5,0,1,0,0,7,3,19,999,0,-999,1.4,93.918,-42.7,4.963,5228.1,0.0319521297237148,Ebony Smith,38725,2878.08,1.1421589130098548,3287.22,L002,ebony.smith@gmail.com,German,10.0,507.619.6253,0.78,0.57,0.56
42,admin.,divorced,5,0,1,0,1,9,3,1,999,1,0,-1.1,94.199,-37.5,0.886,4963.6,0.3685510859990205,Joshua Lambert,134852,3421.91,0.8452327808769935,2892.31,L001,joshua.lambert@yahoo.com,German,21.0,+1-264-818-1334x66873,0.59,0.49,0.34
44,admin.,married,5,0,1,0,1,11,5,4,999,0,-999,-0.1,93.2,-42.0,4.021,5195.8,0.062904907674874,Jennifer Wu,27218,2618.52,1.27869186331097,3348.28,L002,jennifer.wu@yahoo.com,German,25.0,+1-774-289-2443x4165,0.61,0.73,0.49
26,self-employed,single,5,0,1,0,1,9,4,1,999,0,-999,-1.1,94.199,-37.5,0.878,4963.6,0.4967534301928058,Amber Jacobs,58746,4302.15,0.6327411745908064,2722.15,CC003,amber.jacobs@hotmail.com,English,8.0,497-953-2454x425,0.76,0.69,0.57
50,blue-collar,married,1,-999,1,0,1,8,2,2,999,0,-999,1.4,93.444,-36.1,4.968,5228.1,0.0488975150967642,Donna Stephens,84415,503.95,1.0075467847234445,507.75,L001,donna.stephens@hotmail.com,German,29.0,+1-246-578-1180x678,0.84,0.71,0.71
42,admin.,married,5,0,1,0,1,11,4,5,999,0,-999,-0.1,93.2,-42.0,4.076,5195.8,0.0577002487749672,Alan Smith,126682,2731.93,0.9928109295920924,2712.29,CC003,alan.smith@hotmail.com,German,24.0,+1-998-258-5815x90653,0.63,0.71,0.73
30,blue-collar,married,2,0,0,0,1,7,1,4,999,0,-999,1.4,93.918,-42.7,4.962,5228.1,0.0545492653000872,Casey Ramirez,126220,1486.53,1.1080721996641718,1647.18,L002,casey.ramirez@hotmail.com,German,12.0,7309034342,0.99,0.61,0.39
28,student,single,5,0,0,1,1,5,4,4,999,0,-999,-1.8,92.893,-46.2,1.266,5099.1,0.1322070423987214,Christopher Wood,59552,1708.4,0.9800017780575554,1674.24,L002,christopher.wood@gmail.com,German,10.0,(361)808-6075x2679,0.89,0.45,0.88
29,self-employed,married,5,0,0,0,1,5,2,2,999,0,-999,-1.8,92.893,-46.2,1.266,5099.1,0.1286884054484409,David Smith,23306,3290.09,0.6460225701854394,2125.47,CC003,david.smith@gmail.com,English,11.0,+1-883-371-5247,0.5,0.67,0.21
42,admin.,single,5,0,0,0,0,5,2,3,999,0,-999,1.1,93.994,-36.4,4.856,5191.0,0.0390485072472256,Colleen Nichols,63294,2539.86,0.9199168136821998,2336.46,CC003,colleen.nichols@hotmail.com,English,22.0,230-660-2821,0.92,0.71,0.5
43,services,married,5,0,1,0,1,7,2,1,999,0,-999,1.4,93.918,-42.7,4.961,5228.1,0.0616925088585273,Anita Day,12993,1826.97,0.6033038415240657,1102.22,CC003,anita.day@yahoo.com,German,23.0,647.602.8413x083,0.96,0.53,0.68
43,admin.,married,3,0,0,0,1,11,2,1,999,0,-999,-0.1,93.2,-42.0,4.153,5195.8,0.0635951188201963,Jimmy Berry,106088,3681.32,0.3,1104.4,L001,jimmy.berry@hotmail.com,German,23.0,229.203.1430x081,0.98,0.54,0.69
34,management,single,5,0,1,0,0,5,4,1,999,0,-999,-1.8,93.876,-40.0,0.683,5008.7,0.3321708234760757,Angela Morgan,93852,3776.34,0.4549871112319302,1718.19,L001,angela.morgan@gmail.com,German,16.0,462.356.2998x01330,0.75,0.42,0.26
47,self-employed,married,2,-999,1,0,1,11,5,1,999,0,-999,-0.1,93.2,-42.0,4.021,5195.8,0.0629413811346737,Amanda Tate,155364,1298.39,0.5281069029933252,685.69,CC003,amanda.tate@yahoo.com,German,25.0,+1-541-675-7856x76261,0.75,0.64,0.24
48,technician,single,4,-999,1,0,1,7,2,1,999,0,-999,1.4,93.918,-42.7,4.961,5228.1,0.0619864861877527,Chad Hernandez,38339,2722.07,1.5947336031377564,4340.98,CC003,chad.hernandez@hotmail.com,English,27.0,001-260-226-0030x32147,0.72,0.74,0.44
28,admin.,single,3,0,0,1,1,7,5,12,999,0,-999,1.4,93.918,-42.7,4.962,5228.1,0.0553067204491012,Susan Villanueva,32431,2745.58,0.9547215998823408,2621.26,L001,susan.villanueva@hotmail.com,English,10.0,(259)322-7500x9862,0.68,0.78,0.33
31,admin.,single,5,0,0,0,1,7,2,2,999,0,-999,1.4,93.918,-42.7,4.961,5228.1,0.0747204804008207,Jessica Coffey,53470,2622.91,0.3,786.87,CC003,jessica.coffey@gmail.com,German,13.0,001-227-560-8382x3949,0.67,0.78,0.23
38,housemaid,married,1,-999,1,1,0,5,3,2,999,0,-999,1.1,93.994,-36.4,4.857,5191.0,0.0320526902881643,Louis Marshall,48003,4261.69,1.1252306743368834,4795.38,L001,louis.marshall@gmail.com,German,20.0,564.361.2271x073,0.62,0.69,0.66
28,blue-collar,single,-999,0,0,0,1,7,4,1,999,0,-999,1.4,93.918,-42.7,4.958,5228.1,0.0646854625889082,Kevin Smith,34573,918.4,1.2124038068558034,1113.47,L001,kevin.smith@hotmail.com,German,10.0,2457618183,0.66,0.45,0.48
49,entrepreneur,married,3,0,1,0,0,5,1,4,999,0,-999,1.1,93.994,-36.4,4.857,5191.0,0.0306199020341273,Jeremy Russell,16004,3273.33,1.2275263786965769,4018.1,CC003,jeremy.russell@yahoo.com,German,27.0,244-827-8258x0821,0.74,0.57,0.62
42,blue-collar,divorced,1,0,0,0,0,6,2,3,999,0,-999,1.4,94.465,-41.8,4.864,5228.1,0.0406435946210475,Shawn Glass,61029,4717.73,0.3,1415.32,CC003,shawn.glass@hotmail.com,German,24.0,314.290.6985x63237,0.91,0.41,0.24
42,housemaid,married,5,0,1,1,1,8,4,3,999,0,-999,1.4,93.444,-36.1,4.962,5228.1,0.0537056518781409,Christopher Grant,170023,4995.96,0.3,1498.79,L001,christopher.grant@hotmail.com,German,24.0,5896911117,0.63,0.64,0.69
33,admin.,married,3,0,0,0,0,6,3,4,999,0,-999,1.4,94.465,-41.8,4.962,5228.1,0.041231258537157,Deanna Wheeler,123854,4076.99,0.3,1223.1,L002,deanna.wheeler@gmail.com,German,15.0,7399321022,0.68,0.48,0.37
57,admin.,single,3,0,1,0,1,8,4,1,999,0,-999,-2.9,92.201,-31.4,0.873,5076.2,0.3193296717024596,Brittany Clarke,88750,2578.39,0.7634345616970417,1968.43,L001,brittany.clarke@yahoo.com,English,37.0,001-463-611-4824x540,0.64,0.79,0.67
48,services,married,3,0,0,0,1,8,4,1,999,0,-999,1.4,93.444,-36.1,4.963,5228.1,0.0537726927364318,Amy Weber,106853,4052.59,0.609703294673723,2470.88,L002,amy.weber@yahoo.com,German,28.0,(713)922-5677,0.53,0.51,0.34
35,technician,single,4,0,1,0,0,5,4,2,999,0,-999,1.1,93.994,-36.4,4.855,5191.0,0.0351993427527904,Matthew French,199014,2507.88,1.3713319589394486,3439.14,L002,matthew.french@yahoo.com,German,17.0,8819887147,0.63,0.46,0.84
47,management,married,5,0,0,0,0,11,2,3,999,0,-999,-0.1,93.2,-42.0,4.153,5195.8,0.0449283028476032,Zachary Burgess,122892,1948.61,0.5568064419783906,1085.0,CC003,zachary.burgess@hotmail.com,German,29.0,001-886-499-1307,0.88,0.69,0.21
25,admin.,single,3,0,0,0,1,7,3,4,999,0,-999,1.4,93.918,-42.7,4.963,5228.1,0.0735153118349613,Jose Wilson,55402,4450.14,0.3,1335.04,L001,jose.wilson@gmail.com,German,7.0,546.901.2229,0.78,0.59,0.27
48,admin.,married,4,0,1,0,1,4,1,1,7,1,1,-1.8,93.749,-34.6,0.642,5008.7,0.6815869356574262,Amy Jones,34790,4869.03,0.3,1460.71,L002,amy.jones@yahoo.com,German,25.0,+1-334-708-7077x936,0.98,0.52,0.82
48,blue-collar,divorced,1,-999,0,0,0,5,2,1,999,0,-999,1.1,93.994,-36.4,4.856,5191.0,0.0334421819478595,Harold Lynch,88088,4342.05,1.2466015178630343,5412.81,L001,harold.lynch@hotmail.com,English,28.0,962.507.7844,0.64,0.56,0.31
44,services,single,3,0,0,0,1,11,3,4,999,0,-999,-0.1,93.2,-42.0,4.12,5195.8,0.0627783757253191,William Allen,141237,4958.83,0.3,1487.65,CC003,william.allen@gmail.com,English,26.0,5836901971,0.83,0.64,0.41
59,retired,divorced,2,-999,1,0,0,7,5,8,999,0,-999,1.4,93.918,-42.7,4.962,5228.1,0.0546633411268801,David Jackson,12472,674.79,0.3,202.44,L001,david.jackson@hotmail.com,German,32.0,(762)988-7881,0.82,0.68,0.8
56,admin.,married,1,-999,1,0,1,7,4,1,999,0,-999,1.4,93.918,-42.7,4.963,5228.1,0.0627942997522908,Jessica Norton,61486,3382.78,1.1494158560996313,3888.22,CC003,jessica.norton@gmail.com,German,30.0,(619)664-8805x5038,0.52,0.75,0.76
45,technician,married,5,0,1,0,1,11,3,1,999,0,-999,-3.4,92.649,-30.1,0.715,5017.5,0.3922869299728609,Michael Wallace,113777,3888.79,0.7707466116934675,2997.27,L002,michael.wallace@gmail.com,English,23.0,246-677-8266x3545,0.67,0.74,0.6
35,technician,single,4,0,1,0,1,8,4,1,999,0,-999,1.4,93.444,-36.1,4.964,5228.1,0.0560944378646959,Adrian Perez,144932,3819.41,1.138617878976751,4348.85,L001,adrian.perez@yahoo.com,English,17.0,(729)830-5854x546,0.75,0.57,0.3
37,entrepreneur,divorced,3,0,1,0,1,7,4,2,999,0,-999,1.4,93.918,-42.7,4.968,5228.1,0.0607571589542182,Joshua Norris,33837,2321.87,1.153543517036995,2678.38,L001,joshua.norris@yahoo.com,English,19.0,319.843.8879x162,0.73,0.76,0.69
48,admin.,married,5,0,1,1,1,8,3,4,999,0,-999,1.4,93.444,-36.1,4.964,5228.1,0.0550690036935215,Michelle Marshall,49614,3706.79,0.7225148633211073,2678.21,L002,michelle.marshall@hotmail.com,English,25.0,001-843-420-0429,0.78,0.75,0.51
31,blue-collar,married,1,-999,-999,-999,0,5,5,1,999,0,-999,1.1,93.994,-36.4,4.859,5191.0,0.0335339067876353,Jeanne Perez,190792,1186.44,1.4149495024582412,1678.75,L001,jeanne.perez@gmail.com,German,13.0,001-613-662-0785,0.84,0.66,0.74
30,unknown,divorced,5,0,0,1,1,8,4,1,999,0,-999,1.4,93.444,-36.1,4.964,5228.1,0.0633327639634891,Kathryn Salinas,82881,2772.32,0.336371396516378,932.53,L002,kathryn.salinas@hotmail.com,English,12.0,698-306-1531x89507,0.82,0.74,0.82
56,blue-collar,married,2,-999,1,0,1,7,5,3,999,0,-999,1.4,93.918,-42.7,4.962,5228.1,0.0557545155167271,Carmen Mann,121422,3137.71,1.2701236481979166,3985.28,L001,carmen.mann@gmail.com,German,30.0,217-217-2369,0.54,0.71,0.4
